Costcenter|รหัสบลจ.|ชื่อบลจ.|รหัสประเภทหน่วยลงทุน|ประเภทหน่วยลงทุน|ชื่อย่อหน่วยลงทุน|ชื่อหน่วยลงทุน|จำนวนเงิน|วันที่ซื้อ|รหัสพนักงาน
0048|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0512|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
0221|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
6518|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
0221|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
2132|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|600|2018-03-29|6007437
0029|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|4800217
3513|1|ธนชาต|2|RMF|T-NFRMF|กองทุนเปิดธนชาตตราสารหนี้เพื่อการเลี้ยงชีพ(T-NFRMF)|180000|2018-03-29|3402661
1005|3|เอ็มเอฟซี|4|ตราสารหนี้|MMM-PLUS|กองทุนเปิดเอ็มเอฟซี ตราสารหนี้ระยะสั้น พลัส(MMM-PLUS)|200000|2018-03-29|4204120
2603|5|กรุงศรี|4|ตราสารหนี้|KFAFIX|กองทุนเปิดกรุงศรีแอคทีฟตราสารหนี้(KFAFIX)|40000|2018-03-29|5408546
9602|9|กสิกรไทย|2|RMF|KMSRMF|กองทุนเปิดเค Mid Small Cap หุ้นทุนเพื่อการเลี้ยงชีพ(KMSRMF)|40000|2018-03-29|6007437
0005|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
0162|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|300|2018-03-29|6007437
4320|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
2305|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
0137|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0157|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
